"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="009712","VITROX-C12","305","0.140","0.140","0.135","+0.005","0.140","0.140","0.185","0.115","5","","100","372980","38%","-0.003","","","Active","Real Time"
="009713","VITROX-C13","305","","","0.080","","-","-","0.115","0.080","0","","-","-","0%","","","","Active","Real Time"
="009714","VITROX-C14","305","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","Real Time"
="0098","AUMAS","402","0.775","0.805","0.775","+0.030","0.805","0.760","0.995","0.510","85698","","75","6406085","86%","0.051","2.49","45.09","Active","Real Time"
="0099","SCICOM","102","0.965","0.970","0.975","-0.005","0.970","0.960","1.000","0.675","1882","5.67%","46","215850","60%","0.009","5.72","16.70","Active","Real Time"
="0100","ESCERAM","402","0.095","0.095","0.095","-","0.095","0.095","0.165","0.090","3500","","-","404670","50%","","0.91","10.43","Active","Real Time"
="0101","TMCLIFE","162","0.415","0.420","0.420","-","0.420","0.410","0.560","0.365","1655","0.45%","26","97495","44%","0.002","0.21","202.88","Active","Real Time"
="0102","WAJA","402","0.055","0.055","0.055","-","0.055","0.055","0.085","0.040","9230","","100","1348430","50%","","0.08","14.22","Active, Alert","Real Time"
="0103","MNC","463","0.070","0.070","0.070","-","0.070","0.070","0.150","0.055","450","","-","802695","100%","-0.001","-3.67","","Active","Real Time"
="0103PA","MNC-PA","463","","","0.050","","-","-","0.095","0.020","0","","-","33030","59%","0.001","","","Active","Real Time"
="0103WC","MNC-WC","463","","","0.005","","-","-","0.070","0.005","0","","-","3203790","46%","-0.002","","","Active","Real Time"
="0104","GENETEC","105","0.585","0.595","0.585","+0.010","0.615","0.575","1.630","0.495","233421","","61","17907985","78%","-0.028","-4.30","","Active","Real Time"
="0104CH","GENETEC-CH","305","","","0.005","","-","-","0.065","0.005","0","","-","208365","33%","-0.009","","","Active","Real Time"
="0104CJ","GENETEC-CJ","305","","","0.005","","-","-","0.045","0.015","0","","-","-","0%","","","","Active","Real Time"
="0104CK","GENETEC-CK","305","","","0.015","","-","-","0.090","0.015","0","","-","2623020","15%","-0.017","","","Active","Real Time"
="0104CL","GENETEC-CL","305","0.025","0.010","0.010","-","0.025","0.010","0.080","0.005","8739","","100","287525","23%","-0.019","","","Active","Real Time"
="0104CM","GENETEC-CM","305","","","0.010","","-","-","0.065","0.010","0","","-","-","9%","","","","Active","Real Time"
="0104CN","GENETEC-CN","305","0.035","0.035","0.025","+0.010","0.035","0.035","0.135","0.025","2001","","48","-","8%","","","","Active","Real Time"
="0104CO","GENETEC-CO","305","0.030","0.030","0.025","+0.005","0.030","0.030","0.065","0.020","2200","","91","2531630","45%","","","","Active","Real Time"
="0104CP","GENETEC-CP","305","0.045","0.040","0.040","-","0.045","0.040","0.065","0.030","3095","","3","235370","33%","","","","Active","Real Time"
="0105","ASIAPLY","402","0.185","0.185","0.190","-0.005","0.190","0.180","0.190","0.060","30084","","38","4828965","73%","0.008","-1.05","","Active","Real Time"
="0106","REXIT","405","0.545","0.555","0.545","+0.010","0.555","0.545","0.890","0.495","236","9.01%","45","64845","80%","-0.001","7.63","7.95","Active","Real Time"
="0107","EDUSPEC","405","0.140","0.135","0.135","-","0.140","0.135","0.150","0.090","38342","","71","2806730","44%","","-2.67","","Active","Real Time"
="0107WC","EDUSPEC-WC","405","0.100","0.100","0.100","-","0.100","0.100","0.120","0.055","3075","","-","236305","50%","","","","Active","Real Time"
="0108","N2N","405","0.375","0.375","0.375","-","0.375","0.370","0.515","0.340","968","5.33%","74","102155","50%","-0.007","-4.69","","Active","Real Time"
="0109","SCBUILD","403","0.005","0.010","0.010","-","0.010","0.005","0.015","0.005","320","","3","4307535","50%","","-0.19","","Active","Real Time"
="0111","K1","405","0.120","0.120","0.120","-","0.125","0.115","0.215","0.105","21713","","56","760130","60%","","0.02","161.29","Active","Real Time"
="0111WD","K1-WD","405","0.030","0.020","0.025","-0.005","0.030","0.020","0.060","0.020","1844","","16","249580","50%","","","","Active","Real Time"
="0112","MIKROMB","405","0.220","0.220","0.225","-0.005","0.220","0.215","0.260","0.170","675","","-","630730","56%","0.005","3.30","7.50","Active","Real Time"
="0113","MMSV","105","0.470","0.470","0.470","-","0.480","0.465","0.505","0.230","4394","","65","490445","63%","0.029","-0.32","","Active","Real Time"
="0116","FOCUS","401","0.005","0.005","0.005","-","0.005","0.005","0.030","0.005","3127","","-","7006840","50%","","-0.21","","Active","Real Time"
="0116PA","FOCUS-PA","401","","","0.005","","-","-","0.010","0.005","0","","-","406905","100%","","","","Active","Real Time"
="0116WD","FOCUS-WD","401","","","0.005","","-","-","0.005","0.005","0","","-","162580","100%","","","","Active","Real Time"
="0117","SMRT","405","0.785","0.770","0.790","-0.020","0.795","0.770","1.340","0.690","16063","","28","1783060","26%","-0.031","6.23","12.40","Active","Real Time"
="0118","TRIVE","161","0.015","0.015","0.010","+0.005","0.015","0.015","0.060","0.005","75466","","100","241490","33%","","-0.40","","Active","Real Time"
="0118WD","TRIVE-WD","161","0.005","0.010","0.005","+0.005","0.010","0.005","0.020","0.005","18000","","100","567305","50%","","","","Active","Real Time"
="0119","APPASIA","405","0.100","0.095","0.100","-0.005","0.100","0.095","0.155","0.090","634","","8","333845","56%","","0.24","48.79","Active","Real Time"
="0120","VIS","405","0.255","0.250","0.265","-0.015","0.255","0.245","0.365","0.170","5053","","23","260300","67%","0.013","-2.94","","Active","Real Time"
="0120WC","VIS-WC","405","0.055","0.065","0.075","-0.010","0.065","0.055","0.145","0.045","2397","","10","98145","60%","0.004","","","Active","Real Time"
="0122","AIM","402","0.020","0.025","0.020","+0.005","0.025","0.020","0.095","0.015","801","","100","189275","50%","","-1.68","","Active","Real Time"
="0122WA","AIM-WA","402","","","0.005","","-","-","0.035","0.005","0","","-","350850","50%","-0.001","","","Active","Real Time"
="0123","PRIVA","463","0.075","0.075","0.075","-","0.075","0.075","0.140","0.065","15060","","100","440490","50%","","0.55","14.53","Active","Real Time"
="0126","MICROLN","105","0.105","0.115","0.110","+0.005","0.120","0.105","0.275","0.085","14540","","76","526525","40%","-0.003","-2.30","","Active","Real Time"
="0126WA","MICROLN-WA","105","0.040","0.040","0.040","-","0.040","0.040","0.055","0.035","350","","-","369605","50%","","","","Active","Real Time"
="0127","JHM","105","0.305","0.305","0.310","-0.005","0.305","0.305","0.520","0.280","1766","","-","582640","50%","-0.002","-3.75","","Active","Real Time"
="0128","FRONTKN","105","4.250","4.300","4.240","+0.060","4.310","4.230","4.590","2.630","83799","0.86%","49","3331255","44%","0.013","8.67","45.65","Active","Real Time"
="012837","FRONTKN-C37","305","","","0.040","","-","-","0.115","0.025","0","","-","338300","50%","-0.009","","","Active","Real Time"
="012838","FRONTKN-C38","305","0.080","0.080","0.080","-","0.080","0.080","0.145","0.020","300","","1","209845","40%","-0.005","","","Active","Real Time"
="012839","FRONTKN-C39","305","","","-","","-","-","0.155","0.025","0","","-","618290","56%","0.011","","","Suspended","Real Time"
="012840","FRONTKN-C40","305","","","0.070","","-","-","0.105","0.035","0","","-","1017935","33%","","","","Active","Real Time"
="012841","FRONTKN-C41","305","0.210","0.210","0.205","+0.005","0.210","0.210","0.260","0.135","500","","-","110380","30%","-0.001","","","Active","Real Time"
="012842","FRONTKN-C42","305","","","0.190","","-","-","0.190","0.135","0","","-","755830","67%","","","","Active","Real Time"
="012843","FRONTKN-C43","305","","","0.140","","-","-","0.155","0.125","0","","-","-","0%","","","","Active","Real Time"
="012844","FRONTKN-C44","305","0.100","0.100","0.095","+0.005","0.100","0.100","0.110","0.095","185","","100","-","45%","","","","Active","Real Time"
="012845","FRONTKN-C45","305","0.060","0.060","0.050","+0.010","0.060","0.060","0.080","0.050","330","","100","-","0%","","","","Active","Real Time"
="012846","FRONTKN-C46","305","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","Real Time"
="012847","FRONTKN-C47","305","","","-","","-","-","","","0","","-","-","0%","","","","New","Real Time"
="0128WB","FRONTKN-WB","105","0.295","0.300","0.295","+0.005","0.305","0.290","0.430","0.095","58465","","54","8163645","56%","0.016","","","Active","Real Time"
="0129","SRIDGE","463","0.240","0.230","0.235","-0.005","0.240","0.230","0.650","0.165","35175","","42","3975150","89%","0.010","1.12","35.77","Active","Real Time"
="0131","DFX","405","0.120","0.115","0.120","-0.005","0.120","0.115","0.145","0.085","16584","","49","1886205","63%","0.005","0.73","12.60","Active","Real Time"
="0132","TDEX","405","","","0.040","","-","-","0.065","0.035","0","","-","93795","43%","","-0.40","","Active","Real Time"
="0133","SANICHI","402","0.105","0.110","0.110","-","0.110","0.105","0.160","0.010","226","","79","126205","36%","-0.002","-10.70","","Active","Real Time"
="0136","GREENYB","101","","","0.190","","-","-","0.260","0.160","0","","-","253320","50%","0.002","-1.00","","Active","Real Time"
="0138","ZETRIX","105","0.855","0.855","0.860","-0.005","0.860","0.850","1.060","0.680","399798","3.20%","51","42160700","50%","-0.006","9.30","9.63","Active","Real Time"
="01388B","ZETRIX-C8B","305","0.030","0.030","0.040","-0.010","0.030","0.030","0.175","0.025","300","","-","1997340","33%","-0.030","","","Active","Real Time"
="01388I","ZETRIX-C8I","305","","","0.050","","-","-","0.085","0.035","0","","-","-","0%","","","","Active","Real Time"
="01388J","ZETRIX-C8J","305","","","0.140","","-","-","0.140","0.130","0","","-","-","0%","","","","Active","Real Time"
="01388K","ZETRIX-C8K","305","","","0.040","","-","-","0.100","0.020","0","","-","50990","45%","-0.006","","","Active","Real Time"
="01388L","ZETRIX-C8L","305","","","0.045","","-","-","0.085","0.035","0","","-","419870","35%","","","","Active","Real Time"
="01388M","ZETRIX-C8M","305","","","0.020","","-","-","0.075","0.020","0","","-","-","0%","","","","Active","Real Time"
="01388N","ZETRIX-C8N","305","","","0.015","","-","-","0.060","0.015","0","","-","2808135","29%","","","","Active","Real Time"
="01388O","ZETRIX-C8O","305","","","0.045","","-","-","0.120","0.045","0","","-","-","0%","","","","Active","Real Time"
="01388P","ZETRIX-C8P","305","","","0.060","","-","-","0.130","0.060","0","","-","1742505","25%","","","","Active","Real Time"
="01388Q","ZETRIX-C8Q","305","0.090","0.090","0.095","-0.005","0.090","0.090","0.250","0.095","2000","","75","192750","36%","-0.015","","","Active","Real Time"
="01388R","ZETRIX-C8R","305","","","0.035","","-","-","0.125","0.035","0","","-","2681770","26%","-0.011","","","Active","Real Time"
="01388S","ZETRIX-C8S","305","","","0.035","","-","-","0.065","0.035","0","","-","-","13%","","","","Active","Real Time"
="01388T","ZETRIX-C8T","305","","","0.035","","-","-","0.080","0.035","0","","-","-","0%","","","","Active","Real Time"
="01388U","ZETRIX-C8U","305","","","0.035","","-","-","0.060","0.035","0","","-","-","0%","","","","Active","Real Time"
="01388V","ZETRIX-C8V","305","","","0.055","","-","-","0.060","0.045","0","","-","-","0%","","","","Active","Real Time"
="01388W","ZETRIX-C8W","305","","","0.090","","-","-","0.195","0.090","0","","-","5972600","29%","-0.020","","","Active","Real Time"
="01388X","ZETRIX-C8X","305","","","0.075","","-","-","0.145","0.075","0","","-","228460","21%","-0.015","","","Active","Real Time"
="01388Y","ZETRIX-C8Y","305","","","0.075","","-","-","0.140","0.075","0","","-","-","29%","","","","Active","Real Time"
="01388Z","ZETRIX-C8Z","305","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active","Real Time"
="01389A","ZETRIX-C9A","305","","","0.110","","-","-","0.130","0.100","0","","-","-","53%","","","","Active","Real Time"
="01389B","ZETRIX-C9B","305","","","0.055","","-","-","0.090","0.050","0","","-","-","33%","","","","Active","Real Time"
="01389C","ZETRIX-C9C","305","0.055","0.055","0.055","-","0.055","0.055","0.090","0.055","200","","-","-","0%","","","","Active","Real Time"
="01389D","ZETRIX-C9D","305","","","0.075","","-","-","0.185","0.075","0","","-","295620","19%","-0.025","","","Active","Real Time"
="01389E","ZETRIX-C9E","305","","","0.080","","-","-","0.115","0.080","0","","-","-","0%","","","","Active","Real Time"
="01389F","ZETRIX-C9F","305","","","0.080","","-","-","0.160","0.080","0","","-","1534140","39%","-0.009","","","Active","Real Time"
="01389G","ZETRIX-C9G","305","","","0.065","","-","-","0.100","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389H","ZETRIX-C9H","305","","","0.090","","-","-","0.100","0.080","0","","-","-","0%","","","","Active","Real Time"
="01389I","ZETRIX-C9I","305","","","0.050","","-","-","0.080","0.050","0","","-","-","0%","","","","Active","Real Time"
="01389J","ZETRIX-C9J","305","","","0.125","","-","-","0.165","0.100","0","","-","618470","52%","","","","Active","Real Time"
="01389K","ZETRIX-C9K","305","","","0.055","","-","-","0.085","0.055","0","","-","-","0%","","","","Active","Real Time"
="01389L","ZETRIX-C9L","305","0.030","0.030","0.030","-","0.030","0.030","0.045","0.030","8000","","100","-","0%","","","","Active","Real Time"
="01389M","ZETRIX-C9M","305","","","0.080","","-","-","0.085","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389N","ZETRIX-C9N","305","","","0.080","","-","-","0.080","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389O","ZETRIX-C9O","305","","","0.065","","-","-","0.065","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389P","ZETRIX-C9P","305","","","0.065","","-","-","0.065","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389Q","ZETRIX-C9Q","305","","","0.170","","-","-","0.200","0.165","0","","-","-","0%","","","","Active","Real Time"
="01389R","ZETRIX-C9R","305","","","0.070","","-","-","0.095","0.070","0","","-","-","0%","","","","Active","Real Time"
="01389S","ZETRIX-C9S","305","","","0.055","","-","-","0.070","0.050","0","","-","-","0%","","","","Active","Real Time"
="01389T","ZETRIX-C9T","305","","","0.075","","-","-","0.080","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389U","ZETRIX-C9U","305","","","0.085","","-","-","0.095","0.085","0","","-","-","0%","","","","Active","Real Time"
="01389V","ZETRIX-C9V","305","","","0.100","","-","-","0.100","0.100","0","","-","-","0%","","","","Active","Real Time"
="01389W","ZETRIX-C9W","305","","","0.070","","-","-","0.075","0.070","0","","-","-","0%","","","","Active","Real Time"
="01389X","ZETRIX-C9X","305","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","Real Time"
