"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0045","SSB8","403","0.550","0.545","0.550","-0.005","0.550","0.530","0.670","0.375","19713","1.83%","43","1514810","41%","-0.005","1.77","28.34","Active","Real Time"
="0048","ANCOMLB","464","0.090","0.090","0.090","-","0.090","0.090","0.140","0.085","1775","","13","634220","40%","-0.001","-0.21","60.25","Active","Real Time"
="0049","OCNCASH","101","0.285","0.235","0.280","-0.045","0.320","0.235","0.435","0.190","174270","0.04%","58","1160960","89%","0.005","-0.09","","Active","Real Time"
="0050","SYSTECH","405","0.160","0.170","0.160","+0.010","0.170","0.160","0.335","0.125","13284","","87","793710","86%","","-1.17","","Active","Real Time"
="0050WA","SYSTECH-WA","405","0.035","0.040","0.035","+0.005","0.040","0.035","0.115","0.025","4708","","79","429715","67%","","","","Active","Real Time"
="0051","CUSCAPI","105","0.140","0.145","0.145","-","0.150","0.140","0.265","0.130","10398","","71","464495","33%","-0.004","1.40","10.41","Active","Real Time"
="0053","OSKVI","410","0.600","0.640","0.640","-","0.640","0.600","0.670","0.450","97","","100","25540","68%","0.012","11.97","5.38","Active","Real Time"
="0054","KARYON","102","0.155","0.150","0.150","-","0.155","0.150","0.190","0.120","1310","2.53%","64","245435","46%","","1.87","8.01","Active","Real Time"
="0055","SERSOL","402","0.020","0.020","0.020","-","0.020","0.020","0.115","0.015","150","","-","3309385","50%","","-0.46","","Active","Real Time"
="0055WB","SERSOL-WB","402","","","0.015","","-","-","0.055","0.005","0","","-","95630","54%","-0.003","","","Active","Real Time"
="0056","NCT","120","0.500","0.500","0.500","-","0.500","0.500","0.530","0.440","1175","","100","1178395","55%","0.004","2.34","26.77","Active","Real Time"
="0058","JCBNEXT","102","","","1.770","","-","-","1.790","1.550","0","","-","13550","64%","0.014","38.83","4.55","Active","Real Time"
="0059","ECOHLDS","163","0.035","0.030","0.035","-0.005","0.035","0.030","0.060","0.020","200","","100","49030","60%","","-7.89","","Active","Real Time"
="0060","HM","405","0.155","0.150","0.150","-","0.155","0.145","0.295","0.075","47484","","8","722670","33%","-0.003","0.66","33.39","Active","Real Time"
="0060WC","HM-WC","405","0.005","0.005","0.010","-0.005","0.005","0.005","0.045","0.005","600","","-","166535","50%","-0.001","","","Active","Real Time"
="0060WD","HM-WD","405","0.065","0.060","0.065","-0.005","0.065","0.060","0.100","0.040","3500","","-","344435","50%","-0.003","","","Active","Real Time"
="0064","EFFICEN","102","0.090","0.090","0.090","-","0.090","0.085","0.210","0.070","1051","","5","589695","50%","-0.003","0.35","27.07","Active","Real Time"
="0065","EFORCE","105","0.225","0.225","0.230","-0.005","0.225","0.220","0.310","0.195","13183","","76","502455","56%","-0.004","0.83","27.04","Active","Real Time"
="0066","VSOLAR","405","0.045","0.045","0.040","+0.005","0.045","0.035","0.085","0.030","3767","","50","175615","56%","","-1.29","","Active","Real Time"
="0066WC","VSOLAR-WC","405","","","0.005","","-","-","0.030","0.005","0","","-","200130","33%","-0.002","","","Active","Real Time"
="0068","ASDION","405","0.025","0.025","0.020","+0.005","0.025","0.020","0.035","0.015","27","","81","169225","43%","","0.75","2.59","Active, Alert","Real Time"
="0069","VINVEST","405","","","0.040","","-","-","0.080","0.030","0","","-","1143435","50%","","0.78","","Active","Real Time"
="0070","MQTECH","405","0.050","0.050","0.050","-","0.050","0.045","0.150","0.010","2500","","42","107665","100%","","-1.14","","Active","Real Time"
="0072","ERDASAN","402","0.065","0.065","0.065","-","0.065","0.065","0.210","0.060","5519","","9","83235","33%","-0.002","3.45","1.90","Active","Real Time"
="0074","GOCEAN","401","0.115","0.115","0.120","-0.005","0.120","0.115","0.280","0.080","7426","","-","4336490","40%","-0.002","-1.01","","Active","Real Time"
="0074WB","GOCEAN-WB","401","","","0.005","","-","-","0.020","0.005","0","","-","264815","100%","","","","Active","Real Time"
="0075","LYC","462","0.020","0.020","0.020","-","0.020","0.020","0.110","0.010","1","","-","78915","50%","-0.001","-2.64","","Active, Alert","Real Time"
="0078","GDEX","164","0.090","0.095","0.085","+0.010","0.095","0.085","0.200","0.085","17753","2.11%","73","1541670","100%","-0.007","-0.03","","Active","Real Time"
="0078WC","GDEX-WC","164","0.010","0.010","0.010","-","0.015","0.010","0.050","0.010","652","","98","87190","33%","-0.002","","","Active","Real Time"
="0079","ALRICH","405","0.020","0.020","0.020","-","0.020","0.015","0.035","0.015","10902","","45","255410","50%","","0.11","14.23","Active","Real Time"
="0080","STRAITS","464","0.075","0.080","0.080","-","0.080","0.075","0.110","0.065","505","","-","541635","50%","","0.84","11.71","Active","Real Time"
="0081","REKATECH","402","","","0.045","","-","-","0.050","0.030","0","","-","309820","60%","0.001","-1.30","","Active","Real Time"
="0082","GPACKET","163","0.035","0.035","0.040","-0.005","0.035","0.035","0.055","0.020","2750","","-","3644215","50%","","-0.67","","Active","Real Time"
="0083","NOTION","105","0.605","0.620","0.600","+0.020","0.635","0.605","1.460","0.460","180186","3.23%","62","5888415","67%","-0.001","8.66","7.24","Active","Real Time"
="0083WD","NOTION-WD","105","0.410","0.465","0.405","+0.060","0.470","0.410","0.975","0.260","18351","","73","362210","68%","","","","Active","Real Time"
="0084","FAST","402","0.035","0.035","0.035","-","0.035","0.035","0.075","0.035","1100","","100","251075","33%","-0.001","-4.77","","Active","Real Time"
="0084WA","FAST-WA","402","","","0.010","","-","-","0.020","0.005","0","","-","88425","50%","-0.001","","","Active","Real Time"
="0084WB","FAST-WB","402","0.010","0.010","0.010","-","0.010","0.010","0.030","0.005","400","","100","99090","33%","-0.002","","","Active","Real Time"
="0085","MLAB","405","0.055","0.055","0.060","-0.005","0.055","0.055","0.105","0.055","128","","-","40955","50%","-0.001","-0.97","","Active","Real Time"
="0085WD","MLAB-WD","405","","","0.010","","-","-","0.030","0.005","0","","-","174385","43%","-0.003","","","Active","Real Time"
="0086","YGL","405","0.120","0.120","0.125","-0.005","0.120","0.120","0.195","0.110","2055","","51","186005","75%","","0.08","92.79","Active","Real Time"
="0089","TEXCYCL","402","1.040","1.030","1.040","-0.010","1.040","1.030","1.220","0.805","2160","","70","231020","46%","-0.003","5.35","19.43","Active","Real Time"
="0090","ELSOFT","105","0.280","0.280","0.280","-","0.285","0.275","0.465","0.260","3774","7.14%","33","343100","45%","-0.007","0.31","90.15","Active","Real Time"
="0091","PGB","161","0.085","0.080","0.080","-","0.085","0.080","0.200","0.080","1472","","66","1035915","30%","-0.002","-3.31","","Active","Real Time"
="0092","MTOUCHE","463","0.025","0.030","0.030","-","0.030","0.020","0.065","0.005","31674","","91","10976920","42%","","-1.63","","Active","Real Time"
="0093","SOLUTN","405","0.080","0.085","0.075","+0.010","0.085","0.080","0.195","0.070","4354","","85","155950","50%","-0.002","-1.48","","Active","Real Time"
="0094","ZENTECH","405","0.005","0.010","0.010","-","0.010","0.005","0.015","0.005","11101","","92","613345","50%","","-0.34","","Active","Real Time"
="0095","MAG","401","0.175","0.170","0.170","-","0.175","0.165","0.220","0.160","59635","","28","1857585","33%","","2.22","9.31","Active","Real Time"
="0096","NEXGRAM","463","0.020","0.015","0.020","-0.005","0.020","0.015","0.020","0.010","1159","","-","177305","60%","","-0.50","","Active","Real Time"
="0096WD","NEXGRAM-WD","463","","","0.005","","-","-","0.015","0.005","0","","-","95770","50%","","","","Active","Real Time"
="0097","VITROX","105","3.870","3.740","3.860","-0.120","3.870","3.730","4.300","2.280","15526","0.43%","31","1901405","45%","0.005","4.78","79.18","Active","Real Time"
="009710","VITROX-C10","305","","","0.025","","-","-","0.100","0.010","0","","-","198050","42%","-0.007","","","Active","Real Time"
="009711","VITROX-C11","305","0.095","0.095","0.100","-0.005","0.100","0.095","0.130","0.085","2010","","85","203155","39%","0.001","","","Active","Real Time"
="009712","VITROX-C12","305","0.135","0.135","0.135","-","0.135","0.130","0.185","0.115","14657","","60","232605","32%","-0.001","","","Active","Real Time"
="009713","VITROX-C13","305","","","0.080","","-","-","0.115","0.080","0","","-","-","0%","","","","Active","Real Time"
="009714","VITROX-C14","305","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","Real Time"
="0098","AUMAS","402","0.720","0.760","0.720","+0.040","0.760","0.720","0.995","0.510","112042","","71","5454295","85%","0.036","2.49","42.57","Active","Real Time"
="0099","SCICOM","102","0.975","0.975","0.990","-0.015","0.980","0.970","1.000","0.675","440","5.64%","-","248355","58%","0.009","5.72","16.79","Active","Real Time"
="0100","ESCERAM","402","0.100","0.100","0.100","-","0.100","0.095","0.165","0.090","772","","69","300520","67%","","0.91","10.98","Active","Real Time"
="0101","TMCLIFE","162","0.430","0.415","0.430","-0.015","0.430","0.415","0.560","0.365","400","0.46%","43","84260","50%","0.003","0.21","200.47","Active","Real Time"
="0102","WAJA","402","0.050","0.050","0.050","-","0.050","0.050","0.085","0.040","10302","","-","1260210","100%","","0.08","12.93","Active, Alert","Real Time"
="0103","MNC","463","0.070","0.070","0.070","-","0.070","0.070","0.150","0.055","380","","-","1022965","25%","-0.001","-3.67","","Active","Real Time"
="0103PA","MNC-PA","463","","","0.050","","-","-","0.095","0.020","0","","-","33030","59%","0.001","","","Active","Real Time"
="0103WC","MNC-WC","463","","","0.005","","-","-","0.070","0.005","0","","-","3203790","46%","-0.002","","","Active","Real Time"
="0104","GENETEC","105","0.565","0.565","0.565","-","0.570","0.550","1.630","0.495","59008","","55","19718115","31%","-0.040","-4.30","","Active","Real Time"
="0104CH","GENETEC-CH","305","","","0.005","","-","-","0.065","0.005","0","","-","208365","33%","-0.009","","","Active","Real Time"
="0104CJ","GENETEC-CJ","305","","","0.005","","-","-","0.045","0.015","0","","-","-","0%","","","","Active","Real Time"
="0104CK","GENETEC-CK","305","","","0.015","","-","-","0.090","0.015","0","","-","2623020","15%","-0.017","","","Active","Real Time"
="0104CL","GENETEC-CL","305","","","0.010","","-","-","0.080","0.005","0","","-","203535","15%","-0.020","","","Active","Real Time"
="0104CM","GENETEC-CM","305","","","0.010","","-","-","0.065","0.010","0","","-","-","9%","","","","Active","Real Time"
="0104CN","GENETEC-CN","305","0.025","0.025","0.025","-","0.025","0.025","0.135","0.025","280","","-","-","8%","","","","Active","Real Time"
="0104CO","GENETEC-CO","305","","","0.025","","-","-","0.065","0.020","0","","-","2531630","45%","","","","Active","Real Time"
="0104CP","GENETEC-CP","305","0.035","0.035","0.035","-","0.035","0.035","0.065","0.030","8000","","38","-","43%","","","","Active","Real Time"
="0105","ASIAPLY","402","0.180","0.180","0.180","-","0.190","0.180","0.180","0.060","121427","","55","4194755","73%","0.006","-1.05","","Active","Real Time"
="0106","REXIT","405","0.530","0.535","0.535","-","0.535","0.525","0.890","0.495","26","9.35%","8","65750","75%","-0.006","7.63","7.67","Active","Real Time"
="0107","EDUSPEC","405","0.135","0.135","0.140","-0.005","0.140","0.135","0.150","0.090","14165","","-","2385780","50%","","-2.67","","Active","Real Time"
="0107WC","EDUSPEC-WC","405","0.100","0.100","0.105","-0.005","0.100","0.100","0.120","0.055","86","","-","140650","60%","0.002","","","Active","Real Time"
="0108","N2N","405","0.375","0.375","0.370","+0.005","0.375","0.375","0.515","0.340","486","5.33%","-","146900","27%","-0.008","-4.69","","Active","Real Time"
="0109","SCBUILD","403","0.010","0.010","0.010","-","0.010","0.005","0.015","0.005","9472","","98","4261795","56%","","-0.19","","Active","Real Time"
="0111","K1","405","0.110","0.115","0.110","+0.005","0.115","0.110","0.215","0.105","28272","","75","618695","25%","-0.001","0.02","154.57","Active","Real Time"
="0111WD","K1-WD","405","0.020","0.025","0.020","+0.005","0.025","0.020","0.060","0.020","4076","","45","232065","37%","-0.001","","","Active","Real Time"
="0112","MIKROMB","405","0.225","0.225","0.220","+0.005","0.225","0.220","0.260","0.170","1921","","37","627780","56%","0.005","3.30","7.67","Active","Real Time"
="0113","MMSV","105","0.475","0.480","0.480","-","0.485","0.470","0.505","0.230","2264","","19","779770","64%","0.032","-0.32","","Active","Real Time"
="0116","FOCUS","401","0.005","0.010","0.005","+0.005","0.010","0.005","0.030","0.005","7050","","24","6980855","43%","","-0.21","","Active","Real Time"
="0116PA","FOCUS-PA","401","","","0.005","","-","-","0.010","0.005","0","","-","406905","100%","","","","Active","Real Time"
="0116WD","FOCUS-WD","401","","","0.005","","-","-","0.005","0.005","0","","-","162580","100%","","","","Active","Real Time"
="0117","SMRT","405","0.800","0.795","0.785","+0.010","0.805","0.790","1.340","0.690","6638","","56","1822855","24%","-0.028","6.23","12.80","Active","Real Time"
="0118","TRIVE","161","","","0.010","","-","-","0.060","0.005","0","","-","237590","50%","","-0.40","","Active","Real Time"
="0118WD","TRIVE-WD","161","","","0.005","","-","-","0.020","0.005","0","","-","567305","50%","","","","Active","Real Time"
="0119","APPASIA","405","0.100","0.105","0.095","+0.010","0.105","0.100","0.155","0.090","6414","","86","303045","57%","","0.24","53.92","Active","Real Time"
="0120","VIS","405","0.265","0.270","0.275","-0.005","0.270","0.260","0.365","0.170","1892","","40","373960","73%","0.010","-2.94","","Active","Real Time"
="0120WC","VIS-WC","405","0.065","0.065","0.075","-0.010","0.065","0.065","0.145","0.045","798","","-","107420","67%","0.003","","","Active","Real Time"
="0122","AIM","402","0.025","0.025","0.025","-","0.025","0.025","0.095","0.015","10500","","-","178940","100%","-0.001","-1.68","","Active","Real Time"
="0122WA","AIM-WA","402","","","0.005","","-","-","0.035","0.005","0","","-","350850","50%","-0.001","","","Active","Real Time"
="0123","PRIVA","463","0.070","0.070","0.075","-0.005","0.070","0.070","0.140","0.065","840","","100","458160","50%","","0.55","13.56","Active","Real Time"
="0126","MICROLN","105","0.115","0.110","0.115","-0.005","0.115","0.110","0.275","0.085","490","","87","491645","50%","-0.003","-2.30","","Active","Real Time"
="0126WA","MICROLN-WA","105","0.040","0.040","0.045","-0.005","0.040","0.040","0.055","0.035","1000","","-","387490","67%","","","","Active","Real Time"
="0127","JHM","105","0.305","0.310","0.305","+0.005","0.315","0.305","0.545","0.280","9868","","81","533110","38%","-0.004","-3.75","","Active","Real Time"
="0128","FRONTKN","105","4.360","4.300","4.360","-0.060","4.370","4.280","4.590","2.630","52922","0.86%","54","3258250","50%","0.034","8.67","45.65","Active","Real Time"
="012837","FRONTKN-C37","305","","","0.040","","-","-","0.115","0.025","0","","-","338300","50%","-0.009","","","Active","Real Time"
="012838","FRONTKN-C38","305","0.080","0.080","0.090","-0.010","0.080","0.080","0.145","0.020","617","","-","265105","43%","-0.004","","","Active","Real Time"
="012839","FRONTKN-C39","305","","","0.140","","-","-","0.155","0.025","0","","-","618290","56%","0.011","","","Active","Real Time"
="012840","FRONTKN-C40","305","","","0.080","","-","-","0.105","0.035","0","","-","1047935","47%","","","","Active","Real Time"
="012841","FRONTKN-C41","305","0.220","0.230","0.225","+0.005","0.230","0.220","0.260","0.135","200","","50","135795","40%","0.003","","","Active","Real Time"
="012842","FRONTKN-C42","305","0.190","0.190","0.190","-","0.190","0.190","0.190","0.135","100","","-","755830","64%","","","","Active","Real Time"
="012843","FRONTKN-C43","305","","","0.140","","-","-","0.155","0.125","0","","-","-","0%","","","","Active","Real Time"
="012844","FRONTKN-C44","305","","","0.095","","-","-","0.110","0.095","0","","-","-","0%","","","","Active","Real Time"
="012845","FRONTKN-C45","305","","","0.075","","-","-","0.080","0.075","0","","-","-","0%","","","","Active","Real Time"
="0128WB","FRONTKN-WB","105","0.320","0.310","0.315","-0.005","0.320","0.305","0.430","0.095","44618","","34","8414470","55%","0.020","","","Active","Real Time"
="0129","SRIDGE","463","0.225","0.230","0.230","-","0.235","0.225","0.650","0.165","39904","","57","4020960","89%","0.009","1.12","35.77","Active","Real Time"
="0131","DFX","405","0.110","0.115","0.110","+0.005","0.115","0.110","0.150","0.085","9139","","22","1759435","70%","0.004","0.73","12.60","Active","Real Time"
="0132","TDEX","405","0.035","0.040","0.045","-0.005","0.040","0.035","0.065","0.035","500","","80","114930","56%","","-0.40","","Active","Real Time"
="0133","SANICHI","402","0.105","0.105","0.105","-","0.110","0.105","0.160","0.010","2256","","77","116065","33%","-0.002","-10.70","","Active","Real Time"
="0136","GREENYB","101","0.200","0.200","0.200","-","0.200","0.200","0.260","0.160","200","","100","292770","59%","0.002","-1.00","","Active","Real Time"
="0138","ZETRIX","105","0.870","0.870","0.870","-","0.870","0.855","1.060","0.680","534523","3.15%","48","43200450","50%","-0.006","9.30","9.64","Active","Real Time"
="01388B","ZETRIX-C8B","305","","","0.040","","-","-","0.175","0.025","0","","-","1997340","33%","-0.030","","","Active","Real Time"
="01388I","ZETRIX-C8I","305","","","0.050","","-","-","0.085","0.035","0","","-","-","0%","","","","Active","Real Time"
="01388J","ZETRIX-C8J","305","","","0.140","","-","-","0.140","0.130","0","","-","-","0%","","","","Active","Real Time"
="01388K","ZETRIX-C8K","305","","","0.040","","-","-","0.100","0.020","0","","-","50990","45%","-0.006","","","Active","Real Time"
="01388L","ZETRIX-C8L","305","","","0.045","","-","-","0.085","0.035","0","","-","419870","35%","","","","Active","Real Time"
="01388M","ZETRIX-C8M","305","","","0.020","","-","-","0.075","0.020","0","","-","-","0%","","","","Active","Real Time"
="01388N","ZETRIX-C8N","305","","","0.015","","-","-","0.060","0.015","0","","-","2808135","29%","","","","Active","Real Time"
="01388O","ZETRIX-C8O","305","","","0.045","","-","-","0.120","0.045","0","","-","-","0%","","","","Active","Real Time"
="01388P","ZETRIX-C8P","305","","","0.060","","-","-","0.130","0.060","0","","-","1742505","25%","","","","Active","Real Time"
="01388Q","ZETRIX-C8Q","305","0.100","0.100","0.110","-0.010","0.100","0.100","0.250","0.105","2000","","100","193500","35%","-0.013","","","Active","Real Time"
="01388R","ZETRIX-C8R","305","","","0.035","","-","-","0.125","0.035","0","","-","2681770","26%","-0.011","","","Active","Real Time"
="01388S","ZETRIX-C8S","305","","","0.035","","-","-","0.065","0.035","0","","-","-","13%","","","","Active","Real Time"
="01388T","ZETRIX-C8T","305","0.035","0.035","0.040","-0.005","0.035","0.035","0.080","0.040","3000","","-","-","0%","","","","Active","Real Time"
="01388U","ZETRIX-C8U","305","","","0.035","","-","-","0.060","0.035","0","","-","-","0%","","","","Active","Real Time"
="01388V","ZETRIX-C8V","305","","","0.055","","-","-","0.060","0.045","0","","-","-","0%","","","","Active","Real Time"
="01388W","ZETRIX-C8W","305","","","0.090","","-","-","0.195","0.090","0","","-","5972600","29%","-0.020","","","Active","Real Time"
="01388X","ZETRIX-C8X","305","","","0.075","","-","-","0.145","0.075","0","","-","228460","21%","-0.015","","","Active","Real Time"
="01388Y","ZETRIX-C8Y","305","","","0.075","","-","-","0.140","0.075","0","","-","-","29%","","","","Active","Real Time"
="01388Z","ZETRIX-C8Z","305","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active","Real Time"
="01389A","ZETRIX-C9A","305","","","0.110","","-","-","0.130","0.100","0","","-","-","53%","","","","Active","Real Time"
="01389B","ZETRIX-C9B","305","","","0.055","","-","-","0.090","0.050","0","","-","-","33%","","","","Active","Real Time"
="01389C","ZETRIX-C9C","305","","","0.065","","-","-","0.090","0.060","0","","-","-","0%","","","","Active","Real Time"
="01389D","ZETRIX-C9D","305","","","0.075","","-","-","0.185","0.075","0","","-","295620","19%","-0.025","","","Active","Real Time"
="01389E","ZETRIX-C9E","305","","","0.080","","-","-","0.115","0.080","0","","-","-","0%","","","","Active","Real Time"
="01389F","ZETRIX-C9F","305","","","0.090","","-","-","0.160","0.090","0","","-","1579090","41%","-0.008","","","Active","Real Time"
="01389G","ZETRIX-C9G","305","","","0.065","","-","-","0.100","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389H","ZETRIX-C9H","305","","","0.090","","-","-","0.100","0.080","0","","-","-","0%","","","","Active","Real Time"
="01389I","ZETRIX-C9I","305","","","0.050","","-","-","0.080","0.050","0","","-","-","0%","","","","Active","Real Time"
="01389J","ZETRIX-C9J","305","","","0.125","","-","-","0.165","0.100","0","","-","618470","52%","","","","Active","Real Time"
="01389K","ZETRIX-C9K","305","","","0.055","","-","-","0.085","0.055","0","","-","-","0%","","","","Active","Real Time"
="01389L","ZETRIX-C9L","305","0.030","0.030","0.040","-0.010","0.030","0.030","0.045","0.035","8000","","-","-","0%","","","","Active","Real Time"
="01389M","ZETRIX-C9M","305","","","0.080","","-","-","0.085","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389N","ZETRIX-C9N","305","","","0.080","","-","-","0.080","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389O","ZETRIX-C9O","305","","","0.065","","-","-","0.065","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389P","ZETRIX-C9P","305","","","0.065","","-","-","0.065","0.065","0","","-","-","0%","","","","Active","Real Time"
="01389Q","ZETRIX-C9Q","305","","","0.170","","-","-","0.200","0.165","0","","-","-","0%","","","","Active","Real Time"
="01389R","ZETRIX-C9R","305","","","0.070","","-","-","0.095","0.070","0","","-","-","0%","","","","Active","Real Time"
="01389S","ZETRIX-C9S","305","","","0.060","","-","-","0.070","0.055","0","","-","-","0%","","","","Active","Real Time"
="01389T","ZETRIX-C9T","305","","","0.075","","-","-","0.080","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389U","ZETRIX-C9U","305","","","0.085","","-","-","0.095","0.085","0","","-","-","0%","","","","Active","Real Time"
="01389V","ZETRIX-C9V","305","","","0.100","","-","-","0.100","0.100","0","","-","-","0%","","","","Active","Real Time"
="01389W","ZETRIX-C9W","305","","","0.075","","-","-","0.075","0.075","0","","-","-","0%","","","","Active","Real Time"
="01389X","ZETRIX-C9X","305","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","Real Time"
="0140","XOXNET","401","0.010","0.010","0.010","-","0.010","0.010","0.030","0.010","2516","","-","165375","33%","","-0.69","","Active","Real Time"
="0143","KEYASIC","105","0.035","0.035","0.035","-","0.040","0.030","0.055","0.030","11268","","46","509710","33%","","-0.46","","Active","Real Time"
