,,,,,,,,,,,,,,,,Code,Stock,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,Sector
0652IK,HSI-CWIK,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIK
0652J2,HSI-PWJ2,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJ2
0652J3,HSI-PWJ3,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJ3
0652J5,HSI-PWJ5,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,HSI-PWJ5
0652JT,HSI-PWJT,,,0.54,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJT
0652JV,HSI-PWJV,,,1.26,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJV
070399,A50CHIN-H99,,,0.16,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,A50CHIN-H99
0736C6,BAIDU-C6,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BAIDU-C6
0709H3,GLDHK-H3,,,0.49,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GLDHK-H3
0744C1,AMD-C1,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AMD-C1
0740C1,BRODCOM-C1,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BRODCOM-C1
0743C3,CATL-C3,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CATL-C3
10232C,CIMB-C2C,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CIMB-C2C
0742C2,POPMART-C2,0.415,0.39,0.15,+0.240,0.415,0.39,,,682,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,POPMART-C2
11552E,MAYBANKC2E,0.1,0.095,-,-0.055,0.1,0.095,,,1860,,69,-,0%,,,,New,,,,,,,,,,,,,,,,,MAYBANKC2E
117183,MBSB-C83,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MBSB-C83
18181D,BURSA-C1D,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BURSA-C1D
181897,BURSA-C97,,,0.2,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BURSA-C97
16193T,DRBHCOMC3T,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DRBHCOMC3T
196171,IOICORP-C71,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,IOICORP-C71
196172,IOICORP-C72,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,IOICORP-C72
285270,CMSB-C70,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,CMSB-C70
244540,KLK-C40,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KLK-C40
419798,SIME-C98,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SIME-C98
48632A,TM-C2A,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,TM-C2A
514155,DAYANG-C55,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C55
514156,DAYANG-C56,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C56
514157,DAYANG-C57,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C57
51683A,HARTA-C3A,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,HARTA-C3A
51481X,UEMS-C1X,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,UEMS-C1X
5184CM,CYPARK-CM,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CYPARK-CM
5184CN,CYPARK-CN,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CYPARK-CN
52101F,ARMADA-C1F,0.02,0.02,0.15,-0.13,0.02,0.02,,,2000,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ARMADA-C1F
52101H,ARMADA-C1H,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ARMADA-C1H
519984,HIBISCS-C84,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HIBISCS-C84
519985,HIBISCS-C85,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HIBISCS-C85
519986,HIBISCS-C86,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HIBISCS-C86
522554,IHH-C54,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,IHH-C54
521681,NEXG-C81,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,NEXG-C81
521146,SUNWAY-C46,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SUNWAY-C46
524637,WPRTS-C37,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,WPRTS-C37
526468,MALAKOFC68,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MALAKOFC68
529646,MRDIY-C46,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MRDIY-C46
528852,SIMEPROP-C52,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SIMEPROP-C52
532613,99SMART-C13,0.085,0.075,-,-0.075,0.085,0.075,,,1570,,36,-,0%,,,,New,,,,,,,,,,,,,,,,,99SMART-C13
587828,KPJ-C28,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KPJ-C28
6459CK,MNRB-CK,0.28,0.265,-,+0.005,0.28,0.265,,,4267,,30,-,0%,,,,New,,,,,,,,,,,,,,,,,MNRB-CK
659940,AEON-C40,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AEON-C40
659943,AEON-C43,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AEON-C43
68881U,AXIATA-C1U,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AXIATA-C1U
694765,CDB-C65,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CDB-C65
694766,CDB-C66,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CDB-C66
694769,CDB-C69,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,CDB-C69
820646,ECOWLD-C46,,,0.2,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ECOWLD-C46
86641A,SPSETIA-C1A,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SPSETIA-C1A
88692B,PMETAL-C2B,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,PMETAL-C2B
0038WA,ARTRONIQ-WA,0.005,0.005,0.005,-,0.005,0.005,0.045,0.005,37102,,17,87405,50%,,,,Active,,,,,,,,,,,,,,,,,ARTRONIQ-WA
0029WC,DIGISTA-WC,,,0.005,,-,-,0.02,0.005,0,,-,43045,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,DIGISTA-WC
0029WD,DIGISTA-WD,,,0.01,,-,-,0.035,0.005,0,,-,192285,43%,-0.001,,,Active,,,,,,,,,,,,,,,,,DIGISTA-WD
0041,HONGSENG,0.01,0.005,0.005,-,0.01,0.005,0.015,0.005,1083,,1,1025805,43%,,0.25,2.28,Active,,,,,,,,,,,,,,,,,HONGSENG
0036,KGROUP,0.13,0.13,0.13,-,0.135,0.125,0.33,0.005,2106,,80,263085,54%,,-0.4,,Active,,,,,,,,,,,,,,,,,KGROUP
0018,LAMBO,,,0.005,,-,-,0.025,0.005,0,,-,5769605,25%,-0.004,0.19,2.64,"Suspended, Alert",,,,,,,,,,,,,,,,,LAMBO
0043,MTRONIC,0.01,0.01,0.01,-,0.015,0.01,0.02,0.005,3365,,40,3313865,50%,,-0.68,,Active,,,,,,,,,,,,,,,,,MTRONIC
0020WD,NETX-WD,,,0.005,,-,-,0.03,0.005,0,,-,58830,40%,,,,Active,,,,,,,,,,,,,,,,,NETX-WD
0022WA,PARLO-WA,,,0.005,,-,-,0.02,0.005,0,,-,76780,100%,,,,Active,,,,,,,,,,,,,,,,,PARLO-WA
0032CD,REDTONE-CD,,,0.005,,-,-,0.02,0.005,0,,-,186355,33%,-0.003,,,Active,,,,,,,,,,,,,,,,,REDTONE-CD
0084WA,FAST-WA,,,0.01,,-,-,0.02,0.005,0,,-,88425,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,FAST-WA
0092,MTOUCHE,0.03,0.045,0.025,+0.020,0.045,0.03,0.06,0.005,234361,,84,5530555,58%,0.002,-1.63,,Active,,,,,,,,,,,,,,,,,MTOUCHE
0096WD,NEXGRAM-WD,,,0.01,,-,-,0.015,0.005,0,,-,28820,67%,,,,Active,,,,,,,,,,,,,,,,,NEXGRAM-WD
0094,ZENTECH,0.01,0.01,0.01,-,0.01,0.005,0.015,0.005,8036,,33,963645,50%,,-0.34,,Active,,,,,,,,,,,,,,,,,ZENTECH
0074WB,GOCEAN-WB,,,0.005,,-,-,0.02,0.005,0,,-,344365,100%,,,,Active,,,,,,,,,,,,,,,,,GOCEAN-WB
0060WC,HM-WC,,,0.01,,-,-,0.045,0.005,0,,-,169275,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,HM-WC
0066WC,VSOLAR-WC,,,0.005,,-,-,0.03,0.005,0,,-,208565,33%,-0.002,,,Active,,,,,,,,,,,,,,,,,VSOLAR-WC
0122WA,AIM-WA,,,0.01,,-,-,0.035,0.005,0,,-,392680,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,AIM-WA
0116,FOCUS,0.01,0.01,0.01,-,0.01,0.005,0.03,0.005,11221,,100,23635735,56%,,-0.21,,Active,,,,,,,,,,,,,,,,,FOCUS
0116PA,FOCUS-PA,,,0.005,,-,-,0.01,0.005,0,,-,407900,100%,,,,Active,,,,,,,,,,,,,,,,,FOCUS-PA
0116WD,FOCUS-WD,,,0.005,,-,-,0.005,0.005,0,,-,175990,100%,,,,Active,,,,,,,,,,,,,,,,,FOCUS-WD
0118,TRIVE,,,0.01,,-,-,0.06,0.005,0,,-,6491680,40%,-0.001,-0.4,,Active,,,,,,,,,,,,,,,,,TRIVE
0118WD,TRIVE-WD,0.005,0.005,0.005,-,0.005,0.005,0.02,0.005,1000,,73,594045,40%,,,,Active,,,,,,,,,,,,,,,,,TRIVE-WD
0104CH,GENETEC-CH,,,0.005,,-,-,0.065,0.005,0,,-,208365,33%,-0.009,,,Active,,,,,,,,,,,,,,,,,GENETEC-CH
0104CL,GENETEC-CL,,,0.01,,-,-,0.08,0.005,0,,-,97045,24%,,,,Active,,,,,,,,,,,,,,,,,GENETEC-CL
0103WC,MNC-WC,,,0.005,,-,-,0.07,0.005,0,,-,3207165,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,MNC-WC
0109,SCBUILD,0.01,0.01,0.005,+0.005,0.01,0.01,0.015,0.005,1,,-,283005,100%,,-0.19,,Active,,,,,,,,,,,,,,,,,SCBUILD
0146WA,JFTECH-WA,,,0.005,,-,-,0.2,0.005,0,,-,668270,50%,-0.003,,,Active,,,,,,,,,,,,,,,,,JFTECH-WA
0145WB,TFP-WB,,,0.005,,-,-,0.025,0.005,0,,-,261795,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,TFP-WB
01388E,ZETRIX-C8E,,,0.005,,-,-,0.13,0.005,0,,-,488690,37%,-0.02,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8E
01388G,ZETRIX-C8G,0.01,0.01,0.01,-,0.01,0.01,0.125,0.005,400,,-,3914765,31%,-0.009,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8G
0154,EAH,,,0.005,,-,-,0.01,0.005,0,,-,5084245,100%,,-0.29,,Active,,,,,,,,,,,,,,,,,EAH
01662Z,INARI-C2Z,,,0.005,,-,-,0.155,0.005,0,,-,466085,37%,-0.006,,,Suspended,,,,,,,,,,,,,,,,,INARI-C2Z
01663D,INARI-C3D,,,-,,-,-,0.1,0.005,0,,-,276695,7%,,,,Suspended,,,,,,,,,,,,,,,,,INARI-C3D
01663E,INARI-C3E,,,0.005,,-,-,0.065,0.005,0,,-,167120,43%,-0.002,,,Active,,,,,,,,,,,,,,,,,INARI-C3E
0159,MMM,,,0.015,,-,-,0.12,0.005,0,,-,1031620,27%,-0.015,-0.2,,"Suspended, Alert",,,,,,,,,,,,,,,,,MMM
0153WB,OVERSEA-WB,,,0.01,,-,-,0.035,0.005,0,,-,283115,40%,-0.004,,,Active,,,,,,,,,,,,,,,,,OVERSEA-WB
0187,BCMALL,0.005,0.01,0.01,-,0.01,0.005,0.015,0.005,5001,,100,1271985,60%,,-0.44,,Active,,,,,,,,,,,,,,,,,BCMALL
0195WA,BINACOM-WA,,,0.005,,-,-,0.06,0.005,0,,-,577525,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,BINACOM-WA
0179,BIOHLDG,0.015,0.015,0.015,-,0.015,0.015,0.085,0.005,5578,,100,1807145,57%,,-3.55,,Active,,,,,,,,,,,,,,,,,BIOHLDG
0179PA,BIOHLDG-PA,,,0.005,,-,-,0.01,0.005,0,,-,115880,100%,,,,Active,,,,,,,,,,,,,,,,,BIOHLDG-PA
0179WB,BIOHLDG-WB,,,0.005,,-,-,0.03,0.005,0,,-,85365,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,BIOHLDG-WB
0188WB,HLT-WB,0.01,0.01,0.015,-0.005,0.01,0.01,0.02,0.005,3,,-,2681995,67%,0.001,,,Active,,,,,,,,,,,,,,,,,HLT-WB
0182WA,LKL-WA,,,0.005,,-,-,0.02,0.005,0,,-,520535,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,LKL-WA
0170WB,KANGER-WB,,,0.005,,-,-,0.01,0.005,0,,-,764625,50%,,,,Active,,,,,,,,,,,,,,,,,KANGER-WB
0169,SMTRACK,0.01,0.01,0.01,-,0.01,0.01,0.03,0.005,4460,,-,344675,50%,,-1.33,,Active,,,,,,,,,,,,,,,,,SMTRACK
020815,GREATEC-C15,,,0.025,,-,-,0.075,0.005,0,,-,316500,56%,0.001,,,Active,,,,,,,,,,,,,,,,,GREATEC-C15
020816,GREATEC-C16,,,0.045,,-,-,0.07,0.005,0,,-,273155,52%,0.004,,,Active,,,,,,,,,,,,,,,,,GREATEC-C16
0255WA,EIB-WA,,,0.005,,-,-,0.065,0.005,0,,-,73515,42%,-0.002,,,Active,,,,,,,,,,,,,,,,,EIB-WA
0270CG,NATGATE-CG,,,0.005,,-,-,0.225,0.005,0,,-,878790,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,NATGATE-CG
0270CK,NATGATE-CK,,,0.005,,-,-,0.12,0.005,0,,-,1443155,100%,-0.004,,,Active,,,,,,,,,,,,,,,,,NATGATE-CK
0270CL,NATGATE-CL,,,0.005,,-,-,0.13,0.005,0,,-,313445,100%,-0.003,,,Active,,,,,,,,,,,,,,,,,NATGATE-CL
0270CS,NATGATE-CS,0.005,0.005,0.005,-,0.005,0.005,0.11,0.005,100,,100,135130,29%,,,,Active,,,,,,,,,,,,,,,,,NATGATE-CS
03023W,SMILE-WA,,,0.005,,-,-,0.005,0.005,0,,-,209555,37%,-0.002,,,Active,,,,,,,,,,,,,,,,,SMILE-WA
03001,CLOUD,,,0.05,,-,-,0.15,0.005,0,,-,64125,54%,-0.006,,,Active,,,,,,,,,,,,,,,,,CLOUD
0650B1,FBMKLCI-HB1,,,0.005,,-,-,0.235,0.005,0,,-,170695,31%,-0.011,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HB1
0650B5,FBMKLCI-HB5,,,0.005,,-,-,0.08,0.005,0,,-,125355,11%,-0.009,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HB5
058332,MEITUAN-C32,,,0.005,,-,-,0.28,0.005,0,,-,180920,30%,-0.026,,,Active,,,,,,,,,,,,,,,,,MEITUAN-C32
0652G5,HSI-CWG5,,,0.05,,-,-,0.155,0.005,0,,-,55190,8%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWG5
0650QV,FBMKLCI-CQV,,,0.005,,-,-,0.05,0.005,0,,-,-,11%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQV
0650QX,FBMKLCI-CQX,0.035,0.04,0.03,+0.010,0.04,0.035,0.095,0.005,2000,,25,57455,43%,-0.008,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQX
0650QY,FBMKLCI-CQY,0.04,0.045,0.035,+0.010,0.045,0.04,0.065,0.005,1650,,100,902030,73%,0.003,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQY
0652D8,HSI-PWD8,,,0.01,,-,-,0.435,0.005,0,,-,54800,28%,-0.03,,,Active,,,,,,,,,,,,,,,,,HSI-PWD8
0652DY,HSI-PWDY,,,0.005,,-,-,0.245,0.005,0,,-,93145,38%,-0.016,,,Active,,,,,,,,,,,,,,,,,HSI-PWDY
0652HG,HSI-PWHG,,,0.005,,-,-,0.245,0.005,0,,-,31193405,14%,-0.047,,,Active,,,,,,,,,,,,,,,,,HSI-PWHG
0652HH,HSI-PWHH,,,0.005,,-,-,0.47,0.005,0,,-,2432475,24%,-0.041,,,Active,,,,,,,,,,,,,,,,,HSI-PWHH
0652HP,HSI-PWHP,,,0.005,,-,-,0.1,0.005,0,,-,-,20%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHP
0652HT,HSI-PWHT,,,0.005,,-,-,0.15,0.005,0,,-,4032835,31%,-0.023,,,Active,,,,,,,,,,,,,,,,,HSI-PWHT
0652HU,HSI-PWHU,,,0.005,,-,-,0.41,0.005,0,,-,1567090,21%,-0.04,,,Active,,,,,,,,,,,,,,,,,HSI-PWHU
0652HE,HSI-PWHE,,,0.005,,-,-,0.015,0.005,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHE
0654HO,NIKKEI-HO,,,0.005,,-,-,0.52,0.005,0,,-,205990,18%,-0.041,,,Active,,,,,,,,,,,,,,,,,NIKKEI-HO
10231X,CIMB-C1X,,,0.01,,-,-,0.04,0.005,0,,-,282695,67%,-0.001,,,Active,,,,,,,,,,,,,,,,,CIMB-C1X
106666,RHBBANKC66,0.02,0.02,0.02,-,0.02,0.02,0.035,0.005,505,,100,612645,63%,,,,Active,,,,,,,,,,,,,,,,,RHBBANKC66
12951O,PBBANK-C1O,0.005,0.005,0.005,-,0.005,0.005,0.075,0.005,600,,100,234210,33%,-0.008,,,Active,,,,,,,,,,,,,,,,,PBBANK-C1O
11551V,MAYBANKC1V,0.005,0.005,0.005,-,0.005,0.005,0.06,0.005,3,,100,118505,30%,-0.007,,,Active,,,,,,,,,,,,,,,,,MAYBANKC1V
11551W,MAYBANKC1W,0.005,0.005,0.005,-,0.005,0.005,0.065,0.005,100,,100,360890,40%,-0.002,,,Active,,,,,,,,,,,,,,,,,MAYBANKC1W
181896,BURSA-C96,,,0.005,,-,-,0.04,0.005,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BURSA-C96
2127WB,COMFORT-WB,,,0.005,,-,-,0.055,0.005,0,,-,387205,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,COMFORT-WB
248819,ABMB-C19,,,0.005,,-,-,0.08,0.005,0,,-,317605,25%,-0.006,,,Active,,,,,,,,,,,,,,,,,ABMB-C19
244536,KLK-C36,0.01,0.01,0.005,+0.005,0.01,0.01,0.155,0.005,5800,,96,535380,14%,-0.011,,,Active,,,,,,,,,,,,,,,,,KLK-C36
3336HA,IJM-HA,,,0.005,,-,-,0.13,0.005,0,,-,89425,22%,-0.013,,,Active,,,,,,,,,,,,,,,,,IJM-HA
31823O,GENTINGC3O,,,0.005,,-,-,0.11,0.005,0,,-,293500,29%,-0.009,,,Active,,,,,,,,,,,,,,,,,GENTINGC3O
31823P,GENTINGC3P,,,0.005,,-,-,0.125,0.005,0,,-,286285,33%,-0.002,,,Active,,,,,,,,,,,,,,,,,GENTINGC3P
416236,BAT-C36,,,0.005,,-,-,0.025,0.005,0,,-,898645,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,BAT-C36
4065CT,PPB-CT,0.05,0.01,0.015,-0.005,0.05,0.005,0.115,0.005,26160,,9,93445,40%,-0.024,,,Active,,,,,,,,,,,,,,,,,PPB-CT
3395WC,BJCORP-WC,0.005,0.005,0.005,-,0.005,0.005,0.04,0.005,1,,100,327520,100%,,,,Active,,,,,,,,,,,,,,,,,BJCORP-WC
445637,DNEX-C37,,,0.005,,-,-,0.1,0.005,0,,-,249670,33%,-0.007,,,Active,,,,,,,,,,,,,,,,,DNEX-C37
445638,DNEX-C38,,,0.005,,-,-,0.1,0.005,0,,-,248670,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,DNEX-C38
445639,DNEX-C39,,,0.005,,-,-,0.035,0.005,0,,-,425660,37%,-0.001,,,Active,,,,,,,,,,,,,,,,,DNEX-C39
432461,HENGYUANC61,,,0.005,,-,-,0.13,0.005,0,,-,412310,33%,-0.006,,,Active,,,,,,,,,,,,,,,,,HENGYUANC61
